Time,1mRNAc(),mRNAc()
11930.12901,20,20
11958.15595,20,20
11986.16245,20,20
12014.16309,19,21
12042.17426,19,21
12070.18675,18,21
12098.19315,17,21
12126.20869,17,21
12154.22305,17,22
12182.24341,17,22
12210.24757,18,22
12238.26751,17,22
12266.30003,16,22
12294.31935,15,23
12322.32159,15,23
12350.33566,15,23
12378.33687,15,23
12406.34288,15,22
12434.3484,15,21
12462.35481,15,22
12490.35644,17,22
12518.37575,17,22
12546.41526,17,22
12574.42024,16,22
12602.42081,15,22
12630.42725,15,23
12658.42954,15,23
12686.44346,15,23
12714.44548,15,23
12742.45786,15,23
12770.47201,15,23
12798.47406,16,22
12826.47714,16,22
12854.49159,16,22
12882.49785,17,21
12910.49829,17,21
12938.49955,17,21
12966.50226,16,21
12994.5239,16,21
13022.53559,15,20
13050.53639,16,19
13078.5401,16,19
13106.54275,14,19
13134.57676,15,19
13162.59366,15,18
13190.60302,15,19
13218.60814,15,20
13246.6143,15,19
13274.62193,15,18
13302.62524,14,18
13330.62739,14,18
13358.64033,14,18
13386.64317,14,17
13414.64706,14,17
13442.64867,14,17
13470.67517,13,17
13498.68021,13,16
13526.69056,13,16
13554.72661,13,16
13582.72792,13,15
13610.72843,13,15
13638.73834,13,15
13666.749,13,14
13694.75854,13,14
13722.76294,13,14
13750.771,13,14
13778.78072,13,15
13806.78342,13,15
13834.78619,13,15
13862.78868,14,15
13890.79608,14,15
13918.79653,13,15
13946.7996,14,13
13974.80421,14,13
14002.81007,14,13
14030.81572,14,13
14058.85101,14,13
14086.86472,14,13
14114.8653,15,13
14142.86995,15,13
14170.89439,15,14
14198.89547,16,14
14226.8956,16,14
14254.89933,16,14
14282.9002,16,13
14310.90111,16,12
14338.90371,16,12
14366.90529,15,11
14394.92496,15,11
14422.9367,15,11
14450.94769,15,11
14478.95227,15,11
14506.95543,15,11
14534.95728,15,11
14562.96046,15,11
14590.96303,15,11
14618.9639,15,11
14646.96437,15,11
14674.9722,15,11
14702.97223,15,11
14730.97486,15,11
14758.97648,14,11
14787.0043,14,11
14815.01683,14,12
14843.01857,13,12
14871.02301,13,12
14899.03057,13,12
14927.03648,14,12
14955.04372,13,12
14983.04432,14,12
15011.04568,14,12
15039.04979,15,12
15067.05369,15,12
15095.05914,15,12
15123.06066,15,12
15151.06495,15,12
15179.07306,14,12
15207.07736,13,12
15235.07984,14,12
15263.08031,14,12
15291.08491,14,11
15319.08704,14,11
15347.08789,14,11
15375.09044,14,11
15403.10963,13,11
15431.12011,13,12
15459.12377,13,12
15487.12862,13,11
15515.13092,12,11
15543.13295,11,11
15571.14216,11,11
15599.14422,11,11
15627.14445,11,11
15655.1518,11,10
15683.16035,12,10
15711.16287,13,10
15739.16385,13,10
15767.17092,13,10
15795.17541,14,10
15823.17931,14,10
15851.18257,14,9
15879.18306,14,9
15907.18531,16,7
15935.18565,16,7
15963.18645,16,8
15991.18657,16,8
16019.19043,16,8
16047.19074,17,8
16075.19846,17,8
16103.2008,17,8
16131.2072,16,8
16159.20843,16,8
16187.21034,16,8
16215.21304,16,8
16243.22146,16,8
16271.22964,16,8
16299.23111,16,9
16327.23955,16,9
16355.24133,16,9
16383.25074,16,9
16411.25227,16,11
16439.25229,17,12
16467.2575,17,12
16495.25858,17,12
16523.26094,18,12
16551.26469,18,11
16579.26794,18,11
16607.26999,17,11
16635.27349,17,11
16663.27737,17,11
16691.27899,17,10
16719.28118,17,10
16747.2841,17,10
16775.28866,16,10
16803.28943,16,11
16831.29048,16,11
16859.29104,16,12
16887.29399,17,13
16915.30748,17,13
16943.3086,17,13
16971.31423,17,13
16999.32343,18,14
17027.32763,18,15
17055.3297,18,14
17083.33223,18,14
17111.33514,17,13
17139.34289,17,14
17167.35173,17,14
17195.35335,17,14
17223.36226,16,14
17251.36253,16,13
17279.3721,16,13
17307.37321,16,13
17335.37505,17,13
17363.37902,17,13
17391.38057,17,13
17419.38621,17,14
17447.38862,17,13
